Frequency_Hz,PSD_Dry_dB_Hz,PSD_Wet_dB_Hz
294.0,-93.58791077009872,-100.32142142024833
296.0,-94.9121179183485,-96.79008149861616
298.0,-87.65696108141398,-83.90416494006811
300.0,-85.91318451373238,-83.2209630027078
302.0,-92.9887380855952,-95.5114485294506
304.0,-96.16720437453772,-101.95464115319001
306.0,-96.3742567021086,-100.91973358725659
308.0,-96.06892840440496,-100.0430231830925
310.0,-95.96679531336011,-101.18409413254332
312.0,-96.22639736687515,-100.3890445675853
314.0,-96.18479721274926,-100.61815256232546
316.0,-96.35538474582141,-101.31636779090563
318.0,-96.83213910056199,-101.64222149953586
320.0,-97.26360143487055,-102.19332875894628
322.0,-96.96319585228521,-102.07723506414426
324.0,-96.44259991021872,-102.2891964156793
326.0,-96.64827849484445,-102.63660215775244
328.0,-96.56778992249768,-102.77166306562079
330.0,-96.64359703831715,-102.73858136162951
332.0,-96.81920779863303,-103.75950122943672
334.0,-96.81671841746349,-103.31840052367613
336.0,-96.41719372102011,-104.5909586848816
338.0,-96.92339226082238,-106.37770901685437
340.0,-97.37707791453958,-105.73864230884377
342.0,-97.50423976853841,-106.2742149237065
344.0,-98.27691393625548,-103.18298155153943
346.0,-90.60577419807879,-89.79381572562505
348.0,-75.83683437124323,-76.02751225521553
350.0,-74.7728041285149,-76.1172740926245
352.0,-86.93937480917177,-89.84907734590544
354.0,-97.54214579047927,-104.61730031088504
356.0,-99.31582920146086,-104.98206126011362
358.0,-98.98410621637355,-105.5073818377369
360.0,-98.32216178374324,-106.4929924221414
362.0,-99.15081588761744,-106.41821755830338
364.0,-99.33983744496517,-106.142375348024
366.0,-99.61800280091296,-105.66552914828014
368.0,-99.70981058449566,-106.30039785923461
370.0,-99.80953982006163,-105.85483849735712
372.0,-100.1000276367516,-105.38217804366225
374.0,-100.1383356376563,-106.00222457714615
376.0,-100.09641321315405,-105.99846683081608
378.0,-100.15999943622785,-105.34639949445233
380.0,-100.79404345089142,-105.15418485053688
382.0,-100.77642567801064,-105.77179649342227
384.0,-100.82155466929714,-104.91663876535817
386.0,-101.77960271207455,-104.508442084292
388.0,-100.97109554035467,-105.88130573178088
390.0,-101.11658966538715,-105.76510041092322
392.0,-100.96127424404398,-106.09883867981193
394.0,-101.06902885236492,-105.28686941645029
396.0,-100.52812002413766,-99.34490940761609
398.0,-90.38253071769387,-87.57578713914278
400.0,-89.95221174828929,-88.47482011979326
402.0,-99.76590494401117,-101.99524586380626
404.0,-102.04837267126439,-106.74177267364229
406.0,-102.27601032151682,-106.47559375417077
408.0,-103.26925137819059,-105.68779969735587
410.0,-102.7991885222999,-106.32290141996201
412.0,-102.51886561662758,-105.59130820718492
414.0,-102.77339128035308,-106.05264161396252
416.0,-102.96472236814402,-105.79215486808829
418.0,-102.6886371213282,-105.26576488809846
420.0,-103.56407384987774,-106.09433537223042
422.0,-103.35521342694645,-106.18852923759158
424.0,-102.9491922062786,-106.80607860049705
426.0,-103.21861315208024,-108.39375341525636
428.0,-104.3290404597966,-108.81927249748739
430.0,-105.06014326667093,-107.86389648828674
432.0,-103.70522206549236,-107.11205626778874
434.0,-102.66983159549704,-105.84796056586686
436.0,-101.97555652180769,-107.97232017320367
438.0,-101.82204023248872,-108.36303687889355
440.0,-101.45032871907424,-108.56910065628887
442.0,-101.38159058912707,-108.25025893424402
444.0,-102.50868350840803,-106.51718341814659
446.0,-93.64800221089564,-89.2816084102802
448.0,-80.13253183974453,-78.59690338644073
450.0,-80.33489729917488,-80.52615986928043
452.0,-94.3400738099364,-97.91699495433102
454.0,-103.39282867911236,-108.1644334599018
456.0,-104.78045933875988,-109.36917587273193
458.0,-105.40473375231943,-108.55288818377994
460.0,-106.19284703024454,-109.15232744244685
462.0,-106.09318394186276,-109.72178532901295
464.0,-106.142672270879,-108.45448670875392
466.0,-106.37596138693786,-108.02884866414645
468.0,-106.21542846016588,-108.35538480637554
470.0,-105.92608750278922,-108.09646217487582
472.0,-106.2871442172012,-107.85064601416528
474.0,-106.5968572922475,-108.37970827255512
476.0,-105.8336714732681,-108.81014560856312
478.0,-106.28946279082123,-108.90792319506615
480.0,-106.8227632633737,-108.57140041797797
482.0,-106.72809799196763,-108.76067939800139
484.0,-106.93417163949226,-108.21057464459416
486.0,-106.58831638861516,-108.49919880016398
488.0,-106.88533690584926,-107.3242637067921
490.0,-107.52883018271676,-108.05557573837945
492.0,-107.32963857675153,-109.70724647609657
494.0,-107.70983785872335,-108.37166891285838
496.0,-102.25238714394774,-102.82152290248467
498.0,-92.05628230540432,-94.46185093581067
500.0,-93.07105282257395,-97.28205655551696
502.0,-105.5499749693552,-108.61133415789354
504.0,-106.728812457983,-109.27689214402403
506.0,-107.19064181689156,-109.07935984215365
508.0,-108.10911430279631,-108.07015672085882
510.0,-107.72151342856867,-107.95574311100418
512.0,-107.38096213855498,-107.71186413841559
514.0,-108.39302441085997,-108.67466011963384
516.0,-108.74084589568513,-108.9172102129763
518.0,-108.6924559872193,-108.27809402251967
520.0,-108.36074674638333,-109.14745115535241
522.0,-107.72527007179659,-108.8724576293645
524.0,-107.46338991778953,-109.26722569513466
526.0,-107.89934467132687,-109.57997685575057
528.0,-108.05861902793309,-109.72438866641076
530.0,-109.26117938589138,-110.09820359067845
532.0,-109.4454963701497,-108.32482474350951
534.0,-107.35830969934291,-108.0142657189291
536.0,-104.99582105921574,-109.47732508990327
538.0,-104.48517148111115,-109.26906360974832
540.0,-105.232220518846,-109.86210798360636
542.0,-105.64901882379246,-110.11648460058929
544.0,-106.46797447084346,-108.45211572127737
546.0,-92.66147805010459,-87.87919231801064
548.0,-81.5861295708055,-79.47885241809543
550.0,-83.16050290515825,-83.15796068365755
552.0,-99.73457147549043,-104.43432917019965
554.0,-109.47904265093993,-110.54825354710069
556.0,-110.19780623302749,-111.47289426395575
558.0,-109.53775544240031,-111.21981944410382
560.0,-109.91305953255115,-111.88342490742662
562.0,-111.39588898638985,-110.30667951948834
564.0,-110.91526080377594,-110.13064339359487
566.0,-110.47860879653386,-109.86369961938195
568.0,-111.24714072085894,-109.41986608411614
570.0,-110.52217940118945,-109.54036251829413
572.0,-110.03760848154434,-109.56783983012564
574.0,-110.38433996600709,-110.1873388631303
576.0,-111.55605180333998,-110.69369254620841
578.0,-111.34789312390119,-111.02480081363096
580.0,-111.05470708370035,-110.67153512279867
582.0,-110.34599041398454,-110.41865928378216
584.0,-111.10007735466803,-110.65399705365607
586.0,-110.90125345701423,-109.57957479246922
588.0,-111.04847702454394,-109.75329337545108
590.0,-110.41832200206706,-109.38179098382119
592.0,-111.68807120796745,-110.41412185751517
594.0,-111.16845870825591,-110.57156168385961
596.0,-105.84659942118836,-97.81512996324787
598.0,-97.24227841238368,-90.896116001246
600.0,-99.41918308564965,-95.4364609494734
602.0,-110.31077380357198,-111.47565794028603
604.0,-110.87051432394291,-111.32662907139945
606.0,-110.57124071912996,-110.10892074560793
608.0,-110.27833008576931,-109.67181950226974
610.0,-109.32970447593152,-110.45505924823593
612.0,-109.80369811998608,-110.0545138628521
614.0,-110.52049660486477,-110.39780807461915
616.0,-110.49351661455793,-112.09521033715657
618.0,-110.95055665519666,-111.46757015892653
620.0,-111.3470415626073,-112.00589824660746
622.0,-108.54782561622966,-112.498001093938
624.0,-106.38029847605793,-110.95300818991895
626.0,-107.79432832240359,-110.9915841868046
628.0,-110.83113811293944,-110.62386077311109
630.0,-111.03729374506018,-110.35449596124947
632.0,-112.48904662367325,-111.44311230435106
634.0,-111.72624766967641,-111.47046858116403
636.0,-108.34636323963787,-111.46038612587924
638.0,-108.05825002147687,-110.73092359509104
640.0,-109.46959689253602,-111.78066116106906
642.0,-110.8810631627526,-112.07460748339577
644.0,-111.93635375359749,-112.67549590248137
646.0,-103.05927562418282,-97.83849545097844
648.0,-94.014251743692,-91.14813505578745
650.0,-96.94276390829357,-96.2141941352088
652.0,-110.91210448192142,-112.35750480561637
654.0,-111.21905724826904,-113.24237612430167
656.0,-111.24312080743643,-112.926138634566
658.0,-111.31981858540699,-113.64329635295391
660.0,-111.84886592585899,-112.95270065666597
662.0,-112.15456663101618,-112.4805337880545
664.0,-112.17886906693855,-113.18237165421547
666.0,-111.60959275777185,-113.17604463289749
668.0,-112.21019735662048,-114.5224970486501
670.0,-111.36782170939824,-113.08052924087049
672.0,-110.44398375546456,-112.85161422665567
674.0,-109.46388968324676,-109.67306422060544
676.0,-109.31477352846338,-108.76854152240207
678.0,-110.61762833592613,-110.21778322169978
680.0,-111.51161934903044,-112.20975683941545
